Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_NeC	Round_6_Replicate_26	-933.8574	1883.7148	944.2106	7642.1888	0.0162,0.0026,1.4005,1.4161,0.001,0.8117,0.1567,0.1822	
IM_NeC	Round_3_Replicate_6	-933.8611	1883.7222	944.4934	7645.2186	0.0203,0.0032,1.3983,1.4174,0.0013,0.8107,0.1575,0.1813	
IM_NeC	Round_4_Replicate_2	-933.8692	1883.7384	943.8464	7653.2867	0.0176,0.0028,1.3967,1.4146,0.0011,0.8096,0.1576,0.182	
IM_NeC	Round_2_Replicate_19	-933.87	1883.74	945.1284	7644.6739	0.0184,0.0029,1.3976,1.4172,0.0011,0.8108,0.1577,0.1805	
IM_NeC	Round_3_Replicate_7	-933.8728	1883.7456	945.0483	7636.5601	0.017,0.0026,1.3987,1.4169,0.001,0.8132,0.158,0.1806	
IM_NeC	Round_2_Replicate_20	-933.8777	1883.7554	943.9885	7657.6761	0.0163,0.0027,1.398,1.4126,0.0011,0.8084,0.157,0.182	
IM_NeC	Round_6_Replicate_24	-933.8813	1883.7626	944.874	7657.6343	0.0167,0.0027,1.3978,1.4161,0.0011,0.8072,0.1576,0.1811	
SC_NeC	Round_3_Replicate_12	-933.8843	1883.7686	944.8633	7649.8791	0.0193,0.0029,1.3967,1.4143,0.0012,0.8098,0.1572,0.1815	
SC_NeC	Round_3_Replicate_2	-933.8947	1883.7894	945.8412	7657.2007	0.0164,0.0026,1.3963,1.4143,0.001,0.8073,0.1565,0.1806	
SC_NeC	Round_4_Replicate_8	-933.901	1883.802	945.3282	7660.2073	0.0196,0.0031,1.3957,1.4128,0.0012,0.8069,0.1564,0.1812	
SC_NeC	Round_2_Replicate_1	-933.9198	1883.8396	945.4846	7651.4985	0.0174,0.0025,1.3957,1.4134,0.001,0.8096,0.1561,0.1813	
SC_NeC	Round_4_Replicate_20	-933.9554	1883.9108	945.5159	7628.0189	0.0248,0.0037,1.3994,1.4138,0.0015,0.8155,0.1567,0.1809	
SC_ae_NeC	Round_4_Replicate_2	-933.6949	1887.3898	946.7745	7313.3837	1.3013,0.0171,0.0027,1.4573,1.4827,0.293,0.0011,0.8301,0.1487,0.1741	
SC_ae_NeC	Round_6_Replicate_26	-933.7327	1887.4654	944.1881	7736.6994	0.0505,0.0177,0.0026,1.3842,1.3958,0.0014,0.001,0.8167,0.159,0.183	
IM_ae_NeC	Round_6_Replicate_22	-933.7358	1887.4716	943.1996	7755.0364	0.0555,0.0201,0.003,1.3811,1.3942,0.0016,0.0012,0.8136,0.1592,0.1838	
SC_ae_NeC	Round_6_Replicate_23	-933.7838	1887.5676	943.916	7692.1174	0.4162,0.0164,0.0025,1.3909,1.4067,0.008,0.001,0.8117,0.1571,0.1828	
IM_ae_NeC	Round_5_Replicate_8	-933.804	1887.608	948.6603	7449.168	1.1869,0.0166,0.0025,1.4356,1.4549,0.2267,0.001,0.8219,0.1518,0.1765	
SC_ae_NeC	Round_2_Replicate_14	-933.8285	1887.657	944.9823	7558.3265	1.0446,0.0283,0.0046,1.4162,1.4347,0.3771,0.0019,0.8163,0.1545,0.1797	
IM_ae_NeC	Round_6_Replicate_21	-933.8708	1887.7416	940.792	7770.3796	0.0833,0.0144,0.0026,1.381,1.393,0.0023,0.001,0.8106,0.1606,0.1838	
SC_ae_NeC	Round_6_Replicate_13	-933.9369	1887.8738	945.1575	7641.6953	98.6872,0.0177,0.0028,1.3993,1.4181,0.0044,0.0011,0.8066,0.1565,0.1813	
IM_ae_NeC	Round_5_Replicate_3	-933.9539	1887.9078	942.7167	7861.4578	0.2432,0.018,0.0027,1.3641,1.3728,0.0149,0.001,0.8089,0.1621,0.1853	
SC_ae_NeC	Round_3_Replicate_6	-933.991	1887.982	945.3874	7610.9277	1.6992,0.0163,0.0025,1.4026,1.4272,0.0123,0.001,0.8134,0.1578,0.18	
IM_ae_NeC	Round_6_Replicate_27	-934.0074	1888.0148	941.281	7760.1386	0.0679,0.0139,0.0025,1.385,1.4004,0.0015,0.001,0.8065,0.1617,0.1825	
