Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC	Round_3_Replicate_14	-1039.0562	2090.1124	1191.8306	6656.3451	1.5713,1.4712,0.3755,0.6919,0.1569,0.1483	
SC	Round_3_Replicate_5	-1039.062	2090.124	1192.3689	6661.8324	1.5701,1.4701,0.3733,0.6921,0.1566,0.1484	
SC	Round_3_Replicate_15	-1039.0624	2090.1248	1192.1163	6660.6217	1.57,1.47,0.369,0.6974,0.1565,0.148	
IM	Round_2_Replicate_17	-1042.3626	2094.7252	1204.3093	6548.5074	1.5866,1.4907,1.1152,0.1543,0.1425	
IM	Round_1_Replicate_22	-1042.3671	2094.7342	1203.6866	6543.0654	1.5882,1.4912,1.1173,0.1538,0.1428	
IM	Round_2_Replicate_4	-1042.3739	2094.7478	1204.4552	6557.5714	1.5851,1.4879,1.1121,0.154,0.1425	
AM	Round_3_Replicate_11	-1292.5048	2597.0096	1909.8341	7220.7184	1.3265,1.4888,0.8357,0.0723,0.3976,21.9403	
AM	Round_2_Replicate_16	-1292.5281	2597.0562	1908.2391	7226.2191	1.3246,1.4875,0.8351,0.072,0.3969,1.5411	
AM	Round_2_Replicate_7	-1292.5415	2597.083	1907.2547	7227.2586	1.3242,1.4881,0.8353,0.071,0.3939,0.3127	
SI	Round_1_Replicate_14	-1794.1792	3594.3584	3512.5167	8737.9762	1.2358,1.1344,0.5234	
SI	Round_3_Replicate_5	-1794.193	3594.386	3510.001	8743.8936	1.2346,1.1331,0.5227	
SI	Round_1_Replicate_17	-1794.2018	3594.4036	3510.3569	8744.164	1.2354,1.132,0.5227	
