Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
IM_ae_NeC	Round_3_Replicate_4	-928.3782	1876.7564	874.5567	4491.8829	3.8787,0.0416,0.0017,2.2682,2.1816,1.2115,0.0011,1.007,0.0977,0.1218	
SC_ae_NeC	Round_6_Replicate_5	-928.4538	1876.9076	871.162	3531.157	4.9088,0.0389,0.0017,2.8927,2.773,1.9775,0.001,1.2362,0.0746,0.097	
SC_ae_NeC	Round_6_Replicate_15	-928.4875	1876.975	877.9693	4226.295	4.3666,0.037,0.0017,2.4136,2.3178,1.3701,0.001,1.0366,0.0865,0.1153	
IM_ae_NeC	Round_6_Replicate_14	-928.5037	1877.0074	871.777	3936.7824	4.2866,0.0957,0.0016,2.5602,2.4691,1.6153,0.001,1.1444,0.0825,0.1082	
SC_ae_NeC	Round_3_Replicate_20	-928.9406	1877.8812	869.6009	4645.1913	4.1752,0.0606,0.0032,2.1868,2.1034,1.1171,0.002,0.9465,0.0973,0.1286	
IM_ae_NeC	Round_4_Replicate_6	-929.2065	1878.413	877.2207	4480.075	3.7669,0.1256,0.0019,2.2645,2.1578,1.2153,0.0012,1.0248,0.0963,0.1256	
IM_ae_NeC	Round_4_Replicate_9	-929.3033	1878.6066	875.9861	4161.5977	3.9372,0.2322,0.0016,2.4333,2.3341,1.4374,0.001,1.1017,0.0904,0.114	
SC_ae_NeC	Round_6_Replicate_8	-929.7627	1879.5254	884.6192	5006.7946	3.6566,0.0748,0.0016,2.0405,1.9654,0.9169,0.001,0.8877,0.1027,0.1359	
IM_NeC	Round_5_Replicate_1	-942.7492	1901.4984	903.6365	6689.4102	2.4707,0.3839,1.5348,1.4608,0.2832,0.5994,0.1502,0.1836	
IM_NeC	Round_6_Replicate_26	-942.7537	1901.5074	902.9017	6700.1436	2.4484,0.376,1.5343,1.458,0.2771,0.6029,0.1504,0.1839	
IM_NeC	Round_5_Replicate_12	-942.7537	1901.5074	903.3775	6699.3319	2.4662,0.379,1.5322,1.4585,0.2786,0.6017,0.1502,0.1835	
IM_NeC	Round_2_Replicate_10	-942.756	1901.512	903.0732	6703.925	2.4632,0.3755,1.5319,1.4571,0.2762,0.603,0.1508,0.1838	
IM_NeC	Round_6_Replicate_4	-942.7577	1901.5154	902.6812	6698.1876	2.4488,0.3809,1.533,1.4575,0.2805,0.6008,0.1504,0.184	
IM_NeC	Round_4_Replicate_11	-942.7682	1901.5364	903.4957	6704.3768	2.4818,0.3804,1.5302,1.4591,0.2806,0.5977,0.1496,0.1838	
SC_NeC	Round_4_Replicate_7	-943.3151	1902.6302	903.2753	6767.7539	2.8033,0.3324,1.5195,1.4373,0.2234,0.6271,0.1539,0.1854	
SC_NeC	Round_6_Replicate_3	-943.3194	1902.6388	903.5749	6777.1983	2.7697,0.327,1.5211,1.4355,0.2197,0.6273,0.1533,0.1858	
SC_NeC	Round_6_Replicate_13	-943.3221	1902.6442	903.8285	6779.3511	2.8213,0.3291,1.5173,1.4353,0.2206,0.6261,0.1531,0.186	
SC_NeC	Round_4_Replicate_1	-943.3233	1902.6466	902.5036	6769.6113	2.7494,0.3319,1.5197,1.4384,0.2235,0.6267,0.1537,0.1855	
SC_NeC	Round_4_Replicate_17	-943.3268	1902.6536	902.557	6770.993	2.7854,0.3319,1.5199,1.4348,0.2233,0.6267,0.1536,0.186	
SC_NeC	Round_6_Replicate_17	-943.3277	1902.6554	902.8185	6789.5137	2.7319,0.3251,1.5174,1.4337,0.2181,0.6265,0.1536,0.1861	
IM_ae_NeC	Round_6_Replicate_14	-942.9554	1905.9108	902.8164	1809049.6044	0.0037,0.0097,0.0014,0.0056,0.0054,1.0,0.0011,0.0022,41.0736,50.0265	
IM_ae_NeC	Round_6_Replicate_16	-942.9839	1905.9678	903.9412	1168651.3044	0.0057,0.0144,0.0023,0.0087,0.0084,5.1154,0.0017,0.0034,25.9024,31.802	
SC_ae_NeC	Round_6_Replicate_22	-944.4267	1908.8534	909.3555	1572044.2757	0.0043,0.0104,0.0016,0.0066,0.0063,6.4918,0.0011,0.0026,35.8855,42.1229	
SC_ae_NeC	Round_6_Replicate_13	-950.0022	1920.0044	921.3054	700235.4623	0.0096,0.2254,0.0018,0.0147,0.0135,2.4421,0.0012,0.0071,15.4177,20.2455	
SC_ae	Round_3_Replicate_8	-1134.5992	2285.1984	1269.3321	19102.7684	0.0016,0.5608,0.4473,0.0021,0.1813,0.2004,0.5465,0.4866	
SC_ae	Round_6_Replicate_18	-1134.6468	2285.2936	1270.9421	19464.8143	0.001,0.5526,0.4366,0.0013,0.1615,0.2079,0.5169,0.4777	
SC_ae	Round_6_Replicate_29	-1135.4691	2286.9382	1276.4492	13707.3326	0.0013,0.7877,0.6248,0.0012,0.2478,0.2694,0.3641,0.3301	
SC_ae	Round_6_Replicate_23	-1136.1544	2288.3088	1278.8932	13991.6006	0.0011,0.767,0.6076,0.001,0.2225,0.3009,0.3809,0.3671	
IM_ae	Round_3_Replicate_19	-1143.2315	2300.463	1301.1464	12614.6885	0.0022,0.8346,0.6698,0.0019,0.594,0.3566,0.2895	
IM_ae	Round_3_Replicate_4	-1143.3476	2300.6952	1302.033	11986.8227	0.0012,0.8788,0.7041,0.001,0.6254,0.3353,0.2839	
IM_ae	Round_6_Replicate_25	-1143.5454	2301.0908	1309.5583	11311.4114	0.0013,0.9329,0.7504,0.001,0.6622,0.3194,0.2588	
IM_ae	Round_6_Replicate_28	-1143.621	2301.242	1304.6663	12918.4864	0.0023,0.8152,0.6534,0.0021,0.5888,0.3722,0.3054	
IM_ae	Round_2_Replicate_7	-1143.6954	2301.3908	1304.0102	11619.4745	0.0037,0.9037,0.7305,0.0029,0.6418,0.3245,0.2694	
SC_ae	Round_6_Replicate_9	-1145.1217	2306.2434	1316.9137	9269.6233	0.002,1.1443,0.9118,0.0012,0.0045,0.8071,0.2587,0.2192	
SC_ae	Round_3_Replicate_3	-1177.2402	2370.4804	1380.2718	2204066.9994	0.0026,0.0047,0.0038,0.2523,0.0011,0.002,61.8488,56.4554	
IM_ae	Round_5_Replicate_19	-1182.4518	2378.9036	1401.0208	2481207.9581	0.0023,0.0042,0.0033,0.1437,0.0029,71.3388,61.7723	
