Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC	Round_3_Replicate_5	-1176.9148	2365.8296	1380.9378	5820.1149	1.7925,1.4278,0.4523,0.7247,0.1666,0.1462	
SC	Round_3_Replicate_19	-1176.9181	2365.8362	1379.3566	5823.6381	1.7931,1.426,0.4593,0.7157,0.1654,0.147	
SC	Round_3_Replicate_13	-1176.9217	2365.8434	1379.6085	5824.6084	1.7911,1.4254,0.4506,0.7255,0.1662,0.1465	
IM	Round_3_Replicate_14	-1182.1343	2374.2686	1399.5605	5666.0858	1.8243,1.4607,1.2575,0.1626,0.1377	
IM	Round_3_Replicate_1	-1182.1391	2374.2782	1399.8815	5674.5832	1.8212,1.4583,1.2545,0.163,0.1382	
IM	Round_2_Replicate_2	-1182.144	2374.288	1398.2058	5676.8409	1.8198,1.4568,1.2547,0.163,0.1382	
AM	Round_3_Replicate_13	-1508.0185	3028.037	2367.5659	6427.0663	1.4733,1.4302,0.903,0.0854,0.4534,0.1323	
AM	Round_3_Replicate_11	-1508.0238	3028.0476	2364.0622	6430.1323	1.4716,1.4288,0.9038,0.0847,0.452,0.6027	
AM	Round_3_Replicate_14	-1508.0431	3028.0862	2364.7558	6443.7412	1.4695,1.4253,0.8987,0.0849,0.4522,0.6693	
SI	Round_1_Replicate_4	-2065.4068	4136.8136	4041.0193	7999.8497	1.3629,1.0515,0.5236	
SI	Round_2_Replicate_9	-2065.4148	4136.8296	4040.3295	8002.0324	1.3631,1.0503,0.5233	
SI	Round_3_Replicate_2	-2065.4252	4136.8504	4037.2917	8008.8292	1.3604,1.0494,0.5226	
