Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_ae_NeC	Round_3_Replicate_9	-1128.8837	2277.7674	1265.4443	14546.3602	0.0025,0.0069,0.0031,0.6829,0.9463,0.0018,0.0015,0.4501,0.386,0.3544	
IM_ae_NeC	Round_2_Replicate_2	-1129.0835	2278.167	1271.9913	13091.3029	0.0113,0.0063,0.0029,0.7622,1.0573,0.007,0.0014,0.495,0.3464,0.3112	
IM_ae_NeC	Round_3_Replicate_9	-1129.2384	2278.4768	1266.483	15351.9172	0.0282,0.0048,0.0022,0.6451,0.8982,0.0225,0.001,0.4228,0.4141,0.3687	
SC_ae_NeC	Round_6_Replicate_5	-1129.2414	2278.4828	1277.0877	20282.7989	0.0092,0.0087,0.004,0.4878,0.6862,0.0099,0.0018,0.319,0.5546,0.4674	
SC_ae_NeC	Round_5_Replicate_1	-1129.5804	2279.1608	1265.7741	11625.3485	0.0021,0.0058,0.0027,0.8492,1.1903,0.001,0.0013,0.5581,0.322,0.2788	
IM_ae_NeC	Round_6_Replicate_19	-1129.7125	2279.425	1268.7224	12157.0875	0.0344,0.0052,0.0022,0.8152,1.1387,0.019,0.0011,0.5308,0.3261,0.2897	
IM_ae_NeC	Round_4_Replicate_19	-1130.0265	2280.053	1280.5617	11131.4298	0.0024,0.0051,0.0024,0.8948,1.2557,0.0011,0.0011,0.5783,0.3003,0.2597	
IM_ae_NeC	Round_3_Replicate_10	-1130.2084	2280.4168	1272.6391	15184.6993	0.0436,0.0048,0.0023,0.6529,0.9049,0.0352,0.001,0.4276,0.4126,0.3546	
IM_ae_NeC	Round_5_Replicate_12	-1130.2673	2280.5346	1262.0883	26034.1036	0.0011,0.0175,0.0074,0.383,0.5255,0.0014,0.0037,0.2484,0.6832,0.6478	
SC_NeC	Round_2_Replicate_1	-1147.8708	2311.7416	1322.6239	7606.1149	0.005,0.0023,1.2982,1.8358,0.0011,0.7854,0.2053,0.1822	
IM_NeC	Round_2_Replicate_1	-1147.8819	2311.7638	1321.3217	7618.3566	0.0048,0.0022,1.2943,1.8296,0.001,0.7844,0.2052,0.1837	
SC_NeC	Round_2_Replicate_18	-1147.8856	2311.7712	1322.7794	7607.5842	0.005,0.0022,1.2966,1.8309,0.001,0.7861,0.2046,0.1833	
IM_NeC	Round_2_Replicate_5	-1147.9231	2311.8462	1322.6983	7605.1288	0.0057,0.0027,1.2975,1.8336,0.0012,0.7866,0.2072,0.1818	
IM_NeC	Round_2_Replicate_10	-1147.9336	2311.8672	1324.7583	7608.4755	0.0065,0.0029,1.2953,1.8343,0.0014,0.7845,0.2049,0.183	
SC_NeC	Round_2_Replicate_7	-1147.9529	2311.9058	1323.1498	7610.0723	0.0046,0.0022,1.2952,1.8335,0.001,0.7859,0.2083,0.1818	
SC_NeC	Round_2_Replicate_8	-1147.9538	2311.9076	1322.4594	7598.4731	0.0056,0.0025,1.2971,1.8327,0.0012,0.7882,0.2027,0.1845	
IM_NeC	Round_5_Replicate_10	-1147.9567	2311.9134	1327.317	7588.0952	0.0059,0.0026,1.2992,1.839,0.0012,0.7875,0.2032,0.1823	
IM_NeC	Round_2_Replicate_11	-1147.9833	2311.9666	1320.1067	7611.1541	0.0046,0.0022,1.2949,1.8305,0.001,0.7872,0.207,0.182	
SC_NeC	Round_2_Replicate_17	-1147.992	2311.984	1320.7815	7624.8731	0.006,0.0028,1.2938,1.8268,0.0013,0.783,0.2054,0.1832	
IM_NeC	Round_2_Replicate_15	-1148.0701	2312.1402	1318.9398	7609.491	0.0083,0.004,1.2979,1.832,0.0019,0.7867,0.2058,0.1842	
SC_NeC	Round_3_Replicate_7	-1148.1174	2312.2348	1320.1865	7625.8999	0.0047,0.0022,1.2998,1.8317,0.001,0.7815,0.206,0.1836	
SC_ae_NeC	Round_2_Replicate_15	-1150.6283	2321.2566	1342.4952	112250.1952	0.0665,0.0052,0.0022,0.0879,0.1245,6.6345,0.001,0.053,2.9824,2.7987	
SC_ae_NeC	Round_2_Replicate_13	-1153.7205	2327.441	1341.3263	129087.3096	0.0595,0.0063,0.003,0.0756,0.1093,9.9,0.0013,0.0444,3.4564,3.0563	
SC_ae_NeC	Round_2_Replicate_1	-1162.9021	2345.8042	1367.463	573689.0165	0.013,0.0051,0.0026,0.017,0.0245,7.8912,0.0012,0.0095,16.4066,13.2821	
SC_ae	Round_6_Replicate_15	-1313.0228	2642.0456	1775.3144	17930.774	0.0011,0.5332,0.7043,0.0012,0.2312,0.1818,0.5261,0.4141	
SC_ae	Round_6_Replicate_1	-1313.1086	2642.2172	1783.2799	20169.0261	0.001,0.4728,0.6267,0.0013,0.1998,0.1681,0.5934,0.4628	
SC_ae	Round_6_Replicate_6	-1314.0357	2644.0714	1775.302	14703.0699	0.0025,0.6516,0.8518,0.0024,0.2796,0.2294,0.4372,0.3402	
SC_ae	Round_6_Replicate_21	-1314.2516	2644.5032	1796.9988	14088.9448	0.0011,0.6783,0.9017,0.001,0.2918,0.2365,0.4166,0.3263	
SC_ae	Round_2_Replicate_1	-1314.2741	2644.5482	1777.1402	12543.1641	0.0018,0.7653,0.9982,0.0014,0.327,0.2623,0.3673,0.2918	
SC_ae	Round_2_Replicate_17	-1314.4817	2644.9634	1799.8267	14115.6494	0.0015,0.6832,0.8999,0.0014,0.307,0.2118,0.4231,0.3301	
IM_ae	Round_2_Replicate_12	-1347.2906	2708.5812	1898.7421	14599.8898	0.0016,0.6406,0.8513,0.0015,0.5317,0.4164,0.2998	
IM_ae	Round_6_Replicate_25	-1347.3711	2708.7422	1885.7083	16887.4874	0.0011,0.55,0.7366,0.0012,0.4634,0.4819,0.3546	
IM_ae	Round_2_Replicate_3	-1347.6587	2709.3174	1886.1424	29030.2464	0.0011,0.3211,0.4293,0.0018,0.2678,0.8048,0.6064	
IM_ae	Round_6_Replicate_21	-1348.0027	2710.0054	1892.4257	17134.1768	0.0015,0.5446,0.7212,0.0017,0.4625,0.4926,0.3707	
IM_ae	Round_6_Replicate_29	-1348.0177	2710.0354	1916.2859	14149.2447	0.0026,0.6638,0.8824,0.0024,0.5462,0.4,0.287	
IM_ae	Round_3_Replicate_13	-1349.4283	2712.8566	1917.1834	11326.9252	0.0014,0.8191,1.1086,0.001,0.6874,0.3364,0.225	
