Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_ae_NeC	Round_6_Replicate_15	-1055.1176	2130.2352	1353.0547	15560.7302	0.0059,0.0034,0.0018,0.6772,0.5802,0.005,0.0012,0.3785,0.4799,0.5157	
IM_ae_NeC	Round_2_Replicate_2	-1055.408	2130.816	1358.9102	11300.3564	0.0039,0.0029,0.0015,0.935,0.7992,0.0021,0.001,0.5225,0.3478,0.3762	
IM_ae_NeC	Round_3_Replicate_3	-1055.4812	2130.9624	1356.0937	10631.665	0.0041,0.0034,0.0017,0.9889,0.85,0.0019,0.0012,0.5498,0.3196,0.3511	
IM_ae_NeC	Round_3_Replicate_20	-1055.7453	2131.4906	1358.4274	10325.813	0.0025,0.0203,0.0101,1.0144,0.8759,0.0011,0.0069,0.5641,0.315,0.3409	
SC_ae_NeC	Round_3_Replicate_3	-1056.194	2132.388	1356.9404	9481.7164	0.0429,0.0029,0.0014,1.1021,0.951,0.0157,0.001,0.6231,0.2924,0.3179	
SC_ae_NeC	Round_3_Replicate_16	-1056.282	2132.564	1362.9944	9227.2855	0.0232,0.003,0.0015,1.1464,0.9791,0.0077,0.0011,0.6358,0.2773,0.3095	
IM_ae_NeC	Round_6_Replicate_15	-1056.3466	2132.6932	1358.234	11445.0522	0.1445,0.0031,0.0015,0.9213,0.7919,0.0928,0.0011,0.503,0.3456,0.3814	
IM_NeC	Round_6_Replicate_21	-1060.8433	2137.6866	1378.5249	7052.8366	0.0035,0.0016,1.4944,1.2911,0.0011,0.7706,0.2088,0.2371	
SC_NeC	Round_4_Replicate_20	-1060.8701	2137.7402	1376.6875	7053.2452	0.0036,0.0017,1.49,1.2893,0.0011,0.7727,0.2091,0.2377	
SC_NeC	Round_3_Replicate_1	-1060.8871	2137.7742	1376.2844	7055.8695	0.0036,0.0017,1.4885,1.2932,0.0011,0.7717,0.2101,0.2378	
SC_NeC	Round_3_Replicate_17	-1060.8895	2137.779	1378.9844	7057.9792	0.004,0.0018,1.4919,1.2894,0.0012,0.769,0.2085,0.2373	
IM_NeC	Round_2_Replicate_5	-1060.89	2137.78	1379.573	7049.8602	0.0035,0.0016,1.494,1.293,0.0011,0.77,0.2063,0.2369	
IM_NeC	Round_2_Replicate_9	-1060.8914	2137.7828	1375.6754	7070.4499	0.0031,0.0015,1.4932,1.2877,0.001,0.7676,0.2091,0.2388	
SC_NeC	Round_3_Replicate_12	-1060.9079	2137.8158	1378.1845	7028.7904	0.0033,0.0015,1.4937,1.2935,0.001,0.7793,0.211,0.2346	
SC_NeC	Round_2_Replicate_19	-1060.9087	2137.8174	1375.6092	7079.0761	0.0032,0.0015,1.4872,1.2864,0.001,0.7662,0.2101,0.2374	
IM_NeC	Round_2_Replicate_5	-1060.9175	2137.835	1378.7821	7037.7762	0.0032,0.0015,1.497,1.2983,0.001,0.7745,0.2117,0.2357	
IM_NeC	Round_6_Replicate_27	-1060.9308	2137.8616	1378.344	7037.5549	0.0031,0.0015,1.4979,1.2897,0.001,0.7767,0.2117,0.2359	
IM_NeC	Round_3_Replicate_13	-1060.9858	2137.9716	1379.607	7022.6885	0.0032,0.0015,1.4912,1.3009,0.001,0.7788,0.2091,0.2374	
SC_NeC	Round_2_Replicate_16	-1061.0239	2138.0478	1378.9697	7081.5856	0.0036,0.0017,1.4844,1.2892,0.0011,0.7628,0.209,0.2349	
SC_ae_NeC	Round_6_Replicate_2	-1061.0326	2142.0652	1379.8213	7043.2345	1.5954,0.0033,0.0015,1.4961,1.2923,0.0022,0.001,0.7706,0.2038,0.238	
SC_ae_NeC	Round_2_Replicate_3	-1063.1425	2146.285	1369.9599	80839.7112	0.0865,0.0029,0.0015,0.1285,0.112,1.9255,0.001,0.0686,2.5598,2.7486	
