Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC	Round_3_Replicate_6	-1273.3977	2558.7954	1953.0707	5217.7882	1.8294,1.5165,0.7387,0.6095,0.1903,0.1854	
SC	Round_2_Replicate_6	-1273.4011	2558.8022	1955.7568	5217.5553	1.8324,1.5156,0.7376,0.6095,0.1897,0.1859	
SC	Round_3_Replicate_8	-1273.4127	2558.8254	1952.8896	5229.6585	1.8268,1.512,0.7386,0.6037,0.1907,0.186	
IM	Round_2_Replicate_12	-1303.4488	2616.8976	2040.147	4760.9264	1.9606,1.6375,1.6452,0.1645,0.1573	
IM	Round_2_Replicate_4	-1303.4506	2616.9012	2039.0254	4754.4377	1.962,1.6395,1.6502,0.165,0.1568	
IM	Round_2_Replicate_5	-1303.4638	2616.9276	2041.9467	4775.3824	1.9551,1.6321,1.6369,0.1656,0.1574	
AM	Round_3_Replicate_17	-1825.5317	3663.0634	3565.7419	6362.844	1.3429,1.4124,0.8762,0.0226,0.3544,0.9882	
AM	Round_2_Replicate_2	-1825.5338	3663.0676	3565.7618	6361.4638	1.3435,1.4124,0.8764,0.0228,0.3544,1.6366	
AM	Round_2_Replicate_19	-1825.5399	3663.0798	3561.3983	6368.623	1.3403,1.4104,0.8757,0.0226,0.3551,0.7457	
SI	Round_3_Replicate_10	-2405.8102	4817.6204	5741.2334	7727.9698	1.2803,1.0567,0.5073	
SI	Round_2_Replicate_16	-2405.8266	4817.6532	5735.5072	7736.4466	1.2776,1.0548,0.5064	
SI	Round_2_Replicate_12	-2405.8324	4817.6648	5734.2518	7737.8821	1.2776,1.0544,0.5061	
