Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_ae_NeC	Round_5_Replicate_15	-1124.2664	2268.5328	1473.4276	24530.8421	0.0052,0.0017,0.0021,0.3913,0.5541,0.0065,0.001,0.2588,0.8135,0.6336	
IM_ae_NeC	Round_2_Replicate_13	-1124.4035	2268.807	1481.8866	14710.2083	0.0016,0.004,0.0048,0.658,0.9279,0.0012,0.0023,0.4264,0.4782,0.3787	
IM_ae_NeC	Round_6_Replicate_19	-1124.5089	2269.0178	1468.3566	15640.2111	0.0041,0.002,0.0023,0.6167,0.8702,0.0032,0.0011,0.3983,0.4992,0.3945	
IM_ae_NeC	Round_3_Replicate_12	-1124.7267	2269.4534	1474.2435	13558.6279	0.0037,0.0019,0.0023,0.7131,0.9914,0.0024,0.0011,0.4683,0.441,0.3582	
SC_ae_NeC	Round_6_Replicate_25	-1124.8911	2269.7822	1479.8589	15367.02	0.005,0.0019,0.0023,0.6292,0.8903,0.0039,0.0011,0.4089,0.5183,0.3951	
IM_ae_NeC	Round_5_Replicate_3	-1125.1067	2270.2134	1489.9898	19729.607	0.0021,0.0031,0.0036,0.4922,0.6934,0.0021,0.0018,0.3179,0.6502,0.5045	
SC_ae_NeC	Round_6_Replicate_3	-1126.0708	2272.1416	1478.2323	10570.8652	0.0027,0.002,0.0023,0.9172,1.2938,0.001,0.0011,0.5865,0.3454,0.2741	
SC_ae_NeC	Round_6_Replicate_1	-1126.9532	2273.9064	1495.8574	23886.7326	0.007,0.0022,0.0024,0.4092,0.5755,0.0085,0.0012,0.2585,0.7217,0.645	
SC_ae_NeC	Round_6_Replicate_1	-1127.8819	2275.7638	1458.8529	39133.5578	0.027,0.0018,0.0021,0.2444,0.3495,0.0485,0.001,0.1568,1.2683,1.0151	
IM_NeC	Round_5_Replicate_2	-1143.8014	2303.6028	1518.1222	7498.5558	0.0018,0.0022,1.2847,1.8179,0.001,0.792,0.2511,0.195	
SC_NeC	Round_2_Replicate_2	-1143.8231	2303.6462	1519.2749	7479.8601	0.0017,0.0022,1.2838,1.8247,0.001,0.7962,0.2522,0.1937	
SC_NeC	Round_2_Replicate_8	-1143.8743	2303.7486	1516.7158	7501.3119	0.0018,0.0022,1.2808,1.8132,0.001,0.7938,0.252,0.1957	
SC_NeC	Round_6_Replicate_13	-1143.8777	2303.7554	1519.1591	7499.1997	0.0018,0.0022,1.2834,1.8223,0.0011,0.7904,0.2492,0.1952	
IM_NeC	Round_2_Replicate_18	-1143.8838	2303.7676	1518.549	7498.0747	0.0018,0.0022,1.2803,1.8167,0.001,0.793,0.253,0.1937	
IM_NeC	Round_2_Replicate_8	-1143.8899	2303.7798	1520.3614	7484.8072	0.0018,0.0022,1.2827,1.8256,0.0011,0.7947,0.2543,0.1933	
SC_NeC	Round_2_Replicate_11	-1143.9203	2303.8406	1517.3347	7493.154	0.0017,0.0022,1.2808,1.8133,0.001,0.796,0.2524,0.1952	
IM_NeC	Round_2_Replicate_3	-1143.9215	2303.843	1517.1022	7493.5606	0.0028,0.0034,1.28,1.8171,0.0016,0.7952,0.2534,0.195	
SC_NeC	Round_2_Replicate_8	-1143.9298	2303.8596	1515.4214	7497.4354	0.0027,0.0034,1.2813,1.8147,0.0016,0.795,0.2528,0.1958	
IM_NeC	Round_2_Replicate_16	-1143.9625	2303.925	1517.3753	7492.9982	0.0023,0.0029,1.282,1.8131,0.0014,0.7969,0.2535,0.1973	
