Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC	Round_3_Replicate_18	-1450.8895	2913.779	2398.8066	5670.846	1.4748,2.1129,0.7596,0.532,0.2166,0.1639	
SC	Round_3_Replicate_2	-1450.8931	2913.7862	2401.4472	5666.0029	1.4754,2.1145,0.7567,0.5374,0.2165,0.1636	
SC	Round_3_Replicate_4	-1450.8935	2913.787	2398.1785	5673.7973	1.4734,2.1111,0.7598,0.5314,0.2174,0.1641	
IM	Round_2_Replicate_18	-1500.4929	3010.9858	2534.8038	5253.9409	1.5556,2.2367,1.5365,0.1838,0.1359	
IM	Round_3_Replicate_17	-1500.502	3011.004	2537.719	5262.5559	1.5533,2.2353,1.5306,0.1842,0.1354	
IM	Round_2_Replicate_2	-1500.5068	3011.0136	2537.5484	5268.3732	1.5519,2.2299,1.5295,0.1838,0.1369	
AM	Round_3_Replicate_4	-1950.8464	3913.6928	3785.4274	6726.6181	1.1236,1.9725,0.8917,0.0077,0.3227,43.0908	
AM	Round_2_Replicate_14	-1950.8933	3913.7866	3784.6259	6724.9727	1.1231,1.9727,0.8922,0.0083,0.3246,1.9065	
AM	Round_3_Replicate_18	-1950.9009	3913.8018	3786.922	6730.3283	1.123,1.971,0.8905,0.0081,0.3239,1.1549	
SI	Round_1_Replicate_5	-2659.7758	5325.5516	6461.5583	8134.3144	1.0828,1.5426,0.5319	
SI	Round_3_Replicate_19	-2659.7777	5325.5554	6462.0652	8134.3921	1.0837,1.5419,0.5317	
SI	Round_1_Replicate_6	-2659.7955	5325.591	6456.3324	8141.0108	1.082,1.5392,0.5313	
