Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_ae_NeC	Round_3_Replicate_4	-1207.3182	2434.6364	1586.4235	12736.4535	0.0026,0.0015,0.003,0.6551,1.0838,0.0016,0.0014,0.4579,0.4233,0.2757	
IM_ae_NeC	Round_6_Replicate_26	-1207.4878	2434.9756	1583.1368	12126.0271	0.0026,0.0013,0.0026,0.6879,1.1388,0.0014,0.0012,0.4805,0.4076,0.2601	
IM_ae_NeC	Round_3_Replicate_15	-1207.9267	2435.8534	1586.1082	12672.2441	0.0359,0.0012,0.0025,0.6542,1.0889,0.0225,0.0011,0.4617,0.4279,0.2735	
SC_ae_NeC	Round_3_Replicate_20	-1208.0429	2436.0858	1588.9789	10851.0113	0.0318,0.0013,0.0026,0.7704,1.2745,0.0144,0.0011,0.5329,0.3591,0.2318	
SC_ae_NeC	Round_3_Replicate_16	-1208.0436	2436.0872	1588.9184	10227.0275	0.0033,0.0016,0.0033,0.8151,1.3478,0.0012,0.0015,0.5694,0.3393,0.2218	
IM_ae_NeC	Round_3_Replicate_3	-1208.5093	2437.0186	1594.5627	9966.3615	0.0049,0.0012,0.0024,0.8402,1.3911,0.0017,0.0011,0.5763,0.3276,0.2097	
IM_ae_NeC	Round_3_Replicate_12	-1208.8454	2437.6908	1587.1921	9199.092	0.0101,0.0011,0.0023,0.9084,1.4975,0.0027,0.001,0.6273,0.3066,0.1996	
IM_ae_NeC	Round_6_Replicate_11	-1209.8908	2439.7816	1584.3902	38181.6654	0.0526,0.0011,0.0023,0.2196,0.3599,0.1027,0.001,0.1491,1.2679,0.8305	
SC_ae_NeC	Round_6_Replicate_3	-1209.9661	2439.9322	1586.8754	43333.2147	0.0214,0.0014,0.0028,0.1912,0.3137,0.0415,0.0012,0.1345,1.4361,0.9413	
SC_NeC	Round_6_Replicate_7	-1214.9068	2445.8136	1608.874	7228.2448	0.0012,0.0027,1.1581,1.9135,0.0011,0.7662,0.2494,0.1526	
SC_NeC	Round_6_Replicate_9	-1214.94	2445.88	1607.7258	7225.1566	0.0011,0.0024,1.1573,1.9189,0.001,0.7678,0.2492,0.1537	
IM_NeC	Round_3_Replicate_10	-1214.9413	2445.8826	1608.025	7259.1809	0.0013,0.0029,1.1547,1.9083,0.0012,0.7591,0.248,0.1552	
IM_NeC	Round_3_Replicate_9	-1214.9563	2445.9126	1605.221	7274.0076	0.0011,0.0025,1.1479,1.9046,0.001,0.7577,0.251,0.1536	
SC_NeC	Round_5_Replicate_5	-1214.9901	2445.9802	1609.1539	7258.125	0.0013,0.0029,1.1503,1.9117,0.0012,0.7583,0.2496,0.1524	
SC_NeC	Round_2_Replicate_10	-1214.9952	2445.9904	1605.2382	7242.6882	0.0026,0.006,1.1546,1.9105,0.0024,0.764,0.2506,0.1537	
SC_NeC	Round_3_Replicate_10	-1215.0157	2446.0314	1606.8229	7247.3212	0.0011,0.0025,1.1538,1.9027,0.001,0.7642,0.2504,0.1541	
