Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC	Round_2_Replicate_10	-1608.276	3228.552	2588.2878	5085.2362	1.3635,2.3767,0.9162,0.5385,0.1986,0.1364	
SC	Round_3_Replicate_5	-1608.2774	3228.5548	2588.6048	5086.5157	1.3631,2.3757,0.9145,0.5398,0.1985,0.1363	
SC	Round_2_Replicate_1	-1608.2815	3228.563	2588.2652	5066.7205	1.3703,2.3828,0.9218,0.542,0.198,0.1361	
IM	Round_2_Replicate_11	-1673.7304	3357.4608	2749.6174	4521.8352	1.5018,2.6093,1.8455,0.1569,0.1071	
IM	Round_2_Replicate_11	-1673.7306	3357.4612	2752.1552	4526.1682	1.5012,2.6074,1.8416,0.1567,0.1073	
IM	Round_2_Replicate_6	-1673.7374	3357.4748	2746.7421	4517.3899	1.503,2.6104,1.8497,0.1566,0.1072	
AM	Round_2_Replicate_1	-2101.3935	4214.787	3896.5429	6162.9553	1.0274,2.1437,0.9854,0.001,0.2664,0.3534	
AM	Round_3_Replicate_3	-2101.3938	4214.7876	3896.5883	6163.0312	1.0273,2.1437,0.9855,0.001,0.2667,0.7287	
AM	Round_3_Replicate_16	-2101.3987	4214.7974	3897.5402	6164.469	1.0278,2.1427,0.9847,0.001,0.2661,3.4046	
SI	Round_2_Replicate_16	-2991.5975	5989.195	7444.3861	7620.6426	0.9614,1.6455,0.566	
SI	Round_1_Replicate_12	-2991.6002	5989.2004	7443.6141	7622.1055	0.9605,1.645,0.5661	
SI	Round_3_Replicate_6	-2991.6159	5989.2318	7438.1943	7628.5639	0.9587,1.6442,0.5651	
